Year,Age of Spouse,Age of Spouse,Marriages
2017,16-19,16-19,158
2017,16-19,20-24,374
2017,16-19,25-29,124
2017,16-19,30-34,27
2017,16-19,35-39,9
2017,16-19,40-44,7
2017,16-19,45-49,2
2017,16-19,50+,2
2017,16-19,N.S./N.P.,0
2017,20-24,16-19,374
2017,20-24,20-24,6426
2017,20-24,25-29,4192
2017,20-24,30-34,885
2017,20-24,35-39,207
2017,20-24,40-44,64
2017,20-24,45-49,17
2017,20-24,50+,9
2017,20-24,N.S./N.P.,0
2017,25-29,16-19,124
2017,25-29,20-24,4192
2017,25-29,25-29,24922
2017,25-29,30-34,8932
2017,25-29,35-39,1666
2017,25-29,40-44,381
2017,25-29,45-49,160
2017,25-29,50+,75
2017,25-29,N.S./N.P.,0
2017,30-34,16-19,27
2017,30-34,20-24,885
2017,30-34,25-29,8932
2017,30-34,30-34,15060
2017,30-34,35-39,4510
2017,30-34,40-44,1110
2017,30-34,45-49,339
2017,30-34,50+,184
2017,30-34,N.S./N.P.,0
2017,35-39,16-19,9
2017,35-39,20-24,207
2017,35-39,25-29,1666
2017,35-39,30-34,4510
2017,35-39,35-39,4478
2017,35-39,40-44,1867
2017,35-39,45-49,709
2017,35-39,50+,393
2017,35-39,N.S./N.P.,0
2017,40-44,16-19,7
2017,40-44,20-24,64
2017,40-44,25-29,381
2017,40-44,30-34,1110
2017,40-44,35-39,1867
2017,40-44,40-44,2140
2017,40-44,45-49,1241
2017,40-44,50+,828
2017,40-44,N.S./N.P.,0
2017,45-49,16-19,2
2017,45-49,20-24,17
2017,45-49,25-29,160
2017,45-49,30-34,339
2017,45-49,35-39,709
2017,45-49,40-44,1241
2017,45-49,45-49,1740
2017,45-49,50+,1785
2017,45-49,N.S./N.P.,0
2017,50+,16-19,2
2017,50+,20-24,9
2017,50+,25-29,75
2017,50+,30-34,184
2017,50+,35-39,393
2017,50+,40-44,828
2017,50+,45-49,1785
2017,50+,50+,9996
2017,50+,N.S./N.P.,0
2017,N.S./N.P.,16-19,0
2017,N.S./N.P.,20-24,0
2017,N.S./N.P.,25-29,0
2017,N.S./N.P.,30-34,0
2017,N.S./N.P.,35-39,0
2017,N.S./N.P.,40-44,0
2017,N.S./N.P.,45-49,0
2017,N.S./N.P.,50+,0
2017,N.S./N.P.,N.S./N.P.,0
2018,16-19,16-19,220
2018,16-19,20-24,480
2018,16-19,25-29,140
2018,16-19,30-34,32
2018,16-19,35-39,14
2018,16-19,40-44,5
2018,16-19,45-49,1
2018,16-19,50+,0
2018,16-19,N.S.\N.P.,0
2018,20-24,16-19,480
2018,20-24,20-24,6918
2018,20-24,25-29,4286
2018,20-24,30-34,895
2018,20-24,35-39,205
2018,20-24,40-44,67
2018,20-24,45-49,22
2018,20-24,50+,22
2018,20-24,N.S.\N.P.,0
2018,25-29,16-19,140
2018,25-29,20-24,4286
2018,25-29,25-29,25310
2018,25-29,30-34,9080
2018,25-29,35-39,1617
2018,25-29,40-44,397
2018,25-29,45-49,124
2018,25-29,50+,81
2018,25-29,N.S.\N.P.,0
2018,30-34,16-19,32
2018,30-34,20-24,895
2018,30-34,25-29,9080
2018,30-34,30-34,15298
2018,30-34,35-39,4561
2018,30-34,40-44,1122
2018,30-34,45-49,381
2018,30-34,50+,196
2018,30-34,N.S.\N.P.,0
2018,35-39,16-19,14
2018,35-39,20-24,205
2018,35-39,25-29,1617
2018,35-39,30-34,4561
2018,35-39,35-39,4734
2018,35-39,40-44,1908
2018,35-39,45-49,754
2018,35-39,50+,391
2018,35-39,N.S.\N.P.,1
2018,40-44,16-19,5
2018,40-44,20-24,67
2018,40-44,25-29,397
2018,40-44,30-34,1122
2018,40-44,35-39,1908
2018,40-44,40-44,2108
2018,40-44,45-49,1220
2018,40-44,50+,898
2018,40-44,N.S.\N.P.,0
2018,45-49,16-19,1
2018,45-49,20-24,22
2018,45-49,25-29,124
2018,45-49,30-34,381
2018,45-49,35-39,754
2018,45-49,40-44,1220
2018,45-49,45-49,1676
2018,45-49,50+,1762
2018,45-49,N.S.\N.P.,0
2018,50+,16-19,0
2018,50+,20-24,22
2018,50+,25-29,81
2018,50+,30-34,196
2018,50+,35-39,391
2018,50+,40-44,898
2018,50+,45-49,1762
2018,50+,50+,10418
2018,50+,N.S.\N.P.,0
2018,N.S.\N.P.,16-19,0
2018,N.S.\N.P.,20-24,0
2018,N.S.\N.P.,25-29,0
2018,N.S.\N.P.,30-34,0
2018,N.S.\N.P.,35-39,1
2018,N.S.\N.P.,40-44,0
2018,N.S.\N.P.,45-49,0
2018,N.S.\N.P.,50+,0
2018,N.S.\N.P.,N.S.\N.P.,2
2019,16-19,16-19,184
2019,16-19,20-24,708
2019,16-19,25-29,152
2019,16-19,30-34,54
2019,16-19,35-39,12
2019,16-19,40-44,2
2019,16-19,45-49,4
2019,16-19,50+,4
2019,20-24,16-19,392
2019,20-24,20-24,7272
2019,20-24,25-29,4638
2019,20-24,30-34,986
2019,20-24,35-39,248
2019,20-24,40-44,64
2019,20-24,45-49,46
2019,20-24,50+,32
2019,25-29,16-19,68
2019,25-29,20-24,4040
2019,25-29,25-29,24226
2019,25-29,30-34,8522
2019,25-29,35-39,1802
2019,25-29,40-44,416
2019,25-29,45-49,164
2019,25-29,50+,106
2019,30-34,16-19,12
2019,30-34,20-24,626
2019,30-34,25-29,8284
2019,30-34,30-34,15304
2019,30-34,35-39,4352
2019,30-34,40-44,1126
2019,30-34,45-49,394
2019,30-34,50+,264
2019,35-39,16-19,4
2019,35-39,20-24,154
2019,35-39,25-29,1650
2019,35-39,30-34,4748
2019,35-39,35-39,4548
2019,35-39,40-44,1882
2019,35-39,45-49,768
2019,35-39,50+,508
2019,40-44,20-24,36
2019,40-44,25-29,310
2019,40-44,30-34,992
2019,40-44,35-39,1928
2019,40-44,40-44,2100
2019,40-44,45-49,1216
2019,40-44,50+,980
2019,45-49,16-19,2
2019,45-49,20-24,28
2019,45-49,25-29,84
2019,45-49,30-34,306
2019,45-49,35-39,596
2019,45-49,40-44,1190
2019,45-49,45-49,1620
2019,45-49,50+,1992
2019,50+,16-19,2
2019,50+,20-24,8
2019,50+,25-29,46
2019,50+,30-34,122
2019,50+,35-39,312
2019,50+,40-44,674
2019,50+,45-49,1582
2019,50+,50+,10184
2019,Others,Others,2
